,datahora,nome_drs,pacientes_uti_mm7d,total_covid_uti_mm7d,ocupacao_leitos,pop,leitos_pc,internacoes_7d,internacoes_7d_l,internacoes_7v7
107,13/10/2020,Estado de São Paulo,3609.57,8524.86,42.34,44639899.0,19.1,7765.0,8425.0,-7.83
108,14/10/2020,DRS 01 Grande São Paulo,1949.29,4715.57,41.34,21138247.0,22.31,3702.0,4113.0,-9.99
109,14/10/2020,DRS 02 Araçatuba,62.86,120.14,52.32,764041.0,15.72,134.0,131.0,2.29
110,14/10/2020,DRS 03 Araraquara,44.29,123.57,35.84,991435.0,12.46,224.0,234.0,-4.27
111,14/10/2020,DRS 04 Baixada Santista,108.86,409.0,26.62,1831884.0,22.33,190.0,206.0,-7.77
112,14/10/2020,DRS 05 Barretos,55.57,91.0,61.07,425090.0,21.41,125.0,196.0,-36.22
113,14/10/2020,DRS 06 Bauru,148.14,229.29,64.61,1741281.0,13.17,291.0,371.0,-21.56
114,14/10/2020,DRS 07 Campinas,250.43,655.0,38.23,4562125.0,14.36,473.0,597.0,-20.77
115,14/10/2020,DRS 08 Franca,50.57,110.0,45.97,696336.0,15.8,127.0,120.0,5.83
116,14/10/2020,DRS 09 Marília,64.43,161.0,40.02,1109670.0,14.51,179.0,169.0,5.92
117,14/10/2020,DRS 10 Piracicaba,74.57,239.86,31.09,1539600.0,15.58,140.0,191.0,-26.7
118,14/10/2020,DRS 11 Presidente Prudente,48.14,78.43,61.38,752260.0,10.43,138.0,173.0,-20.23
119,14/10/2020,DRS 12 Registro,11.57,39.0,29.67,278754.0,13.99,27.0,41.0,-34.15
120,14/10/2020,DRS 13 Ribeirão Preto,143.0,304.71,46.93,1477530.0,20.62,362.0,416.0,-12.98
121,14/10/2020,DRS 14 São João da Boa Vista,47.86,127.29,37.6,809836.0,15.72,122.0,135.0,-9.63
122,14/10/2020,DRS 15 São José do Rio Preto,246.86,442.43,55.8,1570421.0,28.17,580.0,659.0,-11.99
123,14/10/2020,DRS 16 Sorocaba,112.86,230.86,48.89,2461760.0,9.38,234.0,262.0,-10.69
124,14/10/2020,DRS 17 Taubaté,147.57,415.86,35.49,2489629.0,16.7,315.0,369.0,-14.63
125,14/10/2020,Estado de São Paulo,3566.86,8493.0,42.0,44639899.0,19.03,7363.0,8383.0,-12.17
126,15/10/2020,DRS 01 Grande São Paulo,1935.14,4709.57,41.09,21138247.0,22.28,3620.0,4121.0,-12.16
127,15/10/2020,DRS 02 Araçatuba,63.14,119.71,52.74,764041.0,15.67,141.0,126.0,11.9
128,15/10/2020,DRS 03 Araraquara,42.29,123.57,34.22,991435.0,12.46,217.0,248.0,-12.5
129,15/10/2020,DRS 04 Baixada Santista,110.29,408.0,27.03,1831884.0,22.27,189.0,205.0,-7.8
130,15/10/2020,DRS 05 Barretos,54.0,91.0,59.34,425090.0,21.41,113.0,192.0,-41.15
131,15/10/2020,DRS 06 Bauru,145.43,228.86,63.55,1741281.0,13.14,280.0,379.0,-26.12
132,15/10/2020,DRS 07 Campinas,243.71,644.86,37.79,4562125.0,14.14,440.0,597.0,-26.3
133,15/10/2020,DRS 08 Franca,48.71,110.14,44.23,696336.0,15.82,120.0,119.0,0.84
134,15/10/2020,DRS 09 Marília,65.29,160.43,40.7,1109670.0,14.46,167.0,184.0,-9.24
